160801_FR07887463	gs://als-csiro-bucket/H5CG5ALXX_1_160801_FR07887463_Homo-sapiens__R_160712_KELWIL1_BLAIRDNA_M008_R1.fastq.gz	gs://als-csiro-bucket/H5CG5ALXX_1_160801_FR07887463_Homo-sapiens__R_160712_KELWIL1_BLAIRDNA_M008_R2.fastq.gz	H5CG5ALXX.1.160801_FR07887463	ILLUMINA	H5CG5ALXX.1	lib	KCCG
160905_FR07887183	gs://als-csiro-bucket/H5GY7ALXX_6_160905_FR07887183_Homo-sapiens__R_160712_KELWIL1_BLAIRDNA_M007_R1.fastq.gz	gs://als-csiro-bucket/H5GY7ALXX_6_160905_FR07887183_Homo-sapiens__R_160712_KELWIL1_BLAIRDNA_M007_R2.fastq.gz	H5GY7ALXX.6.160905_FR07887183	ILLUMINA	H5GY7ALXX.6	lib	KCCG
161219_FR07936663	gs://als-csiro-bucket/H7CKVALXX_1_161219_FR07936663_Homo-sapiens__R_160712_KELWIL1_BLAIRDNA_M014_R1.fastq.gz	gs://als-csiro-bucket/H7CKVALXX_1_161219_FR07936663_Homo-sapiens__R_160712_KELWIL1_BLAIRDNA_M014_R2.fastq.gz	H7CKVALXX.1.161219_FR07936663	ILLUMINA	H7CKVALXX.1	lib	KCCG
160801_FR07887471	gs://als-csiro-bucket/HFVVGALXX_2_160801_FR07887471_Homo-sapiens__R_160712_KELWIL1_BLAIRDNA_M008_R1.fastq.gz	gs://als-csiro-bucket/HFVVGALXX_2_160801_FR07887471_Homo-sapiens__R_160712_KELWIL1_BLAIRDNA_M008_R2.fastq.gz	HFVVGALXX.2.160801_FR07887471	ILLUMINA	HFVVGALXX.2	lib	KCCG
160801_FR07887408	gs://als-csiro-bucket/HY7F3CCXX_6_160801_FR07887408_Homo-sapiens__R_160712_KELWIL1_BLAIRDNA_M008_R1.fastq.gz	gs://als-csiro-bucket/HY7F3CCXX_6_160801_FR07887408_Homo-sapiens__R_160712_KELWIL1_BLAIRDNA_M008_R2.fastq.gz	HY7F3CCXX.6.160801_FR07887408	ILLUMINA	HY7F3CCXX.6	lib	KCCG
160801_FR07887414	gs://als-csiro-bucket/HY7F3CCXX_7_160801_FR07887414_Homo-sapiens__R_160712_KELWIL1_BLAIRDNA_M008_R1.fastq.gz	gs://als-csiro-bucket/HY7F3CCXX_7_160801_FR07887414_Homo-sapiens__R_160712_KELWIL1_BLAIRDNA_M008_R2.fastq.gz	HY7F3CCXX.7.160801_FR07887414	ILLUMINA	HY7F3CCXX.7	lib	KCCG
160801_FR07887431	gs://als-csiro-bucket/HY7FHCCXX_2_160801_FR07887431_Homo-sapiens__R_160712_KELWIL1_BLAIRDNA_M008_R1.fastq.gz	gs://als-csiro-bucket/HY7FHCCXX_2_160801_FR07887431_Homo-sapiens__R_160712_KELWIL1_BLAIRDNA_M008_R2.fastq.gz	HY7FHCCXX.2.160801_FR07887431	ILLUMINA	HY7FHCCXX.2	lib	KCCG
160801_FR07887424	gs://als-csiro-bucket/HY7VCCCXX_1_160801_FR07887424_Homo-sapiens__R_160712_KELWIL1_BLAIRDNA_M008_R1.fastq.gz	gs://als-csiro-bucket/HY7VCCCXX_1_160801_FR07887424_Homo-sapiens__R_160712_KELWIL1_BLAIRDNA_M008_R2.fastq.gz	HY7VCCCXX.1.160801_FR07887424	ILLUMINA	HY7VCCCXX.1	lib	KCCG
160801_FR07887407	gs://als-csiro-bucket/HYGLGCCXX_3_160801_FR07887407_Homo-sapiens__R_160712_KELWIL1_BLAIRDNA_M008_R1.fastq.gz	gs://als-csiro-bucket/HYGLGCCXX_3_160801_FR07887407_Homo-sapiens__R_160712_KELWIL1_BLAIRDNA_M008_R2.fastq.gz	HYGLGCCXX.3.160801_FR07887407	ILLUMINA	HYGLGCCXX.3	lib	KCCG
160801_FR07887400	gs://als-csiro-bucket/HYHKYCCXX_4_160801_FR07887400_Homo-sapiens__R_160712_KELWIL1_BLAIRDNA_M008_R1.fastq.gz	gs://als-csiro-bucket/HYHKYCCXX_4_160801_FR07887400_Homo-sapiens__R_160712_KELWIL1_BLAIRDNA_M008_R2.fastq.gz	HYHKYCCXX.4.160801_FR07887400	ILLUMINA	HYHKYCCXX.4	lib	KCCG
